cluster,count,mean_severity,max_severity,n_types,top_type,top_neighborhood,lat_center,lng_center,n_CurbRamp,n_NoCurbRamp,n_NoSidewalk,n_Obstacle,n_Other,n_SurfaceProblem,spread_m,hotspot_score
1042,106,4.349056603773585,5.0,5,NoSidewalk,Ravenna,47.691743274904645,-122.30397587902141,2,6,77,6,0,15,343.16378786793763,737.6
445,92,4.206521739130435,5.0,5,NoSidewalk,Stevens,47.62920781840449,-122.29875100177267,1,23,60,1,0,7,610.5880737304688,619.2
1179,80,4.825,5.0,4,NoSidewalk,Ravenna,47.693678522109984,-122.29377393722534,1,1,74,4,0,0,343.72107154376914,559.6999999999999
586,88,3.909090909090909,4.0,5,NoSidewalk,Industrial District,47.5715876492587,-122.32445266030051,1,4,79,1,0,3,363.37964771601054,550.4
623,94,3.9148936170212765,5.0,3,NoSidewalk,Industrial District,47.566782849900264,-122.32688782062937,0,8,81,0,0,5,385.126339727734,478.40000000000003
602,95,3.4210526315789473,5.0,4,NoCurbRamp,University District,47.664696542840254,-122.30706136603105,28,35,0,23,0,9,565.2020755424537,471.25
59,90,3.5555555555555554,4.0,4,NoSidewalk,Industrial District,47.541051949395076,-122.35181308322483,0,12,62,3,0,13,511.5051269523363,464.0
198,85,4.7176470588235295,5.0,2,NoSidewalk,Industrial District,47.53069790110869,-122.39130464441637,0,1,84,0,0,0,221.8780517578125,461.15
951,66,4.196969696969697,5.0,5,NoCurbRamp,Loyal Heights,47.680483095573656,-122.38331511526397,16,34,2,10,0,4,300.47568258374974,443.20000000000005
86,85,3.588235294117647,5.0,4,NoCurbRamp,Mount Baker,47.513156442081225,-122.25765955307904,0,46,12,1,0,26,585.7165563432306,442.25
360,78,3.8974358974358974,5.0,4,NoSidewalk,View Ridge,47.68437424684182,-122.26620180178911,0,5,61,11,0,1,640.228271484375,440.8
142,61,4.819672131147541,5.0,4,NoSidewalk,Green Lake,47.69876298748079,-122.35233782158524,2,4,54,0,0,1,438.8713405748652,426.3
6,61,4.819672131147541,5.0,4,NoSidewalk,Mount Baker,47.49858137036933,-122.26708584144467,0,2,55,1,0,3,667.7513122558594,426.3
372,70,3.757142857142857,5.0,5,NoCurbRamp,Montlake,47.63822206769671,-122.30569174630301,7,26,25,6,0,6,399.2958068839769,420.8
1191,62,4.112903225806452,5.0,5,NoCurbRamp,Fremont,47.66175540801017,-122.35913799655053,8,24,21,2,0,7,389.56081502220815,408.00000000000006
528,74,3.7972972972972974,4.0,4,NoSidewalk,Industrial District,47.584123611450195,-122.32982553018105,0,8,51,5,0,10,446.29669189453125,407.45
965,61,3.737704918032787,5.0,6,NoCurbRamp,North Beacon Hill,47.58321142978355,-122.31512763851978,4,27,13,1,1,15,410.7106471238042,399.0
1009,63,3.888888888888889,5.0,5,Obstacle,Leschi,47.60488752334837,-122.28523448156932,1,13,3,31,0,15,248.55422973632812,392.0
393,72,3.388888888888889,5.0,5,NoCurbRamp,Montlake,47.6429394086202,-122.3027752770318,17,29,15,3,0,8,701.8045059863506,390.40000000000003
988,73,3.6027397260273974,4.0,4,NoSidewalk,Roosevelt,47.68419960753558,-122.31570727204624,0,27,44,1,0,1,402.5061090386826,381.34999999999997
1036,76,3.0921052631578947,5.0,5,NoCurbRamp,Madrona,47.6099190962942,-122.29096292194568,11,43,1,4,0,17,463.5978639814838,376.0
301,68,3.4411764705882355,5.0,5,NoCurbRamp,Lawton Park,47.652173547183764,-122.39562853644875,1,56,3,3,0,5,602.1194458007812,374.40000000000003
566,66,3.803030303030303,4.0,4,NoSidewalk,Industrial District,47.591694051569156,-122.33591091271603,0,2,61,2,0,1,277.3475646972656,363.95
954,64,3.890625,5.0,4,NoSidewalk,Leschi,47.5935794711113,-122.28913128376007,0,4,46,5,0,9,434.8640441894531,361.05
1174,57,4.350877192982456,5.0,4,NoSidewalk,Ravenna,47.69106379726477,-122.29304879171806,0,6,40,1,0,10,263.3616871438608,359.59999999999997
1028,63,3.5555555555555554,5.0,5,SurfaceProblem,Leschi,47.607725355360245,-122.2863033234127,2,19,4,18,0,20,386.5380769177152,358.40000000000003
43,48,4.666666666666667,5.0,5,NoCurbRamp,Industrial District,47.57492319742838,-122.39424244562785,2,27,12,1,0,6,387.35174365309837,358.40000000000003
326,73,3.3835616438356166,5.0,4,CurbRamp,Belltown,47.61497476656143,-122.35023634401087,27,21,0,12,0,13,542.8390502929688,358.15000000000003
411,61,3.622950819672131,5.0,5,NoSidewalk,Windermere,47.67315698842533,-122.25884371898213,15,16,26,3,0,1,403.106689453125,353.6
1190,54,3.685185185185185,5.0,6,NoCurbRamp,Fremont,47.66042659900807,-122.36350179601598,9,23,3,12,2,5,324.34844970703125,348.25
743,89,3.0,3.0,3,NoSidewalk,Loyal Heights,47.69899256845539,-122.37916753533182,0,2,82,0,0,5,314.0481088793414,347.1
472,60,3.933333333333333,5.0,4,NoCurbRamp,Broadway,47.62858950297038,-122.3221316019694,2,34,0,11,0,13,425.19346578675544,342.2
408,53,3.981132075471698,5.0,5,NoSidewalk,Windermere,47.667836603128684,-122.27035004237912,2,10,39,1,0,1,345.0965881347656,337.6
70,46,4.521739130434782,5.0,5,NoCurbRamp,Industrial District,47.53189393748408,-122.34551902439283,5,16,5,10,0,10,615.8119730334384,332.79999999999995
998,53,4.773584905660377,5.0,3,NoCurbRamp,Wallingford,47.65052205211711,-122.33938569842644,0,49,3,0,0,1,458.67391550756076,328.90000000000003
338,57,5.0,5.0,2,NoSidewalk,Whittier Heights,47.69159986261736,-122.36293404562431,0,5,52,0,0,0,377.93723758572366,327.75
1010,52,3.923076923076923,5.0,5,NoSidewalk,Leschi,47.60249042510986,-122.28643754812387,4,8,22,7,0,11,304.92170043579034,326.40000000000003
1,50,4.42,5.0,4,NoSidewalk,Green Lake,47.72247779846192,-122.34606323242187,0,0,37,6,1,6,701.8746902873769,320.45
413,55,3.581818181818182,5.0,5,NoSidewalk,Windermere,47.67119716297496,-122.26837352405894,6,14,24,1,0,10,425.97198486249255,315.20000000000005
418,54,5.0,5.0,2,NoSidewalk,Sand Point,47.67835673579463,-122.26065543845847,0,2,52,0,0,0,536.4875793457031,310.5
985,56,3.4642857142857144,5.0,5,NoCurbRamp,Roosevelt,47.6845269884382,-122.30887930733817,2,34,17,1,0,2,402.5035829115818,310.40000000000003
132,62,3.096774193548387,4.0,5,NoCurbRamp,Mount Baker,47.546733425509544,-122.26189361080047,1,36,18,5,0,2,843.4753417976638,307.20000000000005
14,41,4.658536585365853,5.0,5,Obstacle,Industrial District,47.52092287017078,-122.34797314899724,4,13,2,17,0,5,517.0097351074219,305.6
385,52,4.5,5.0,3,NoSidewalk,Montlake,47.64044394859901,-122.29753699669472,8,2,42,0,0,0,269.7257995605469,304.2
1136,46,4.130434782608695,5.0,5,NoSidewalk,Madrona,47.61679641060207,-122.28516056226647,3,14,16,6,0,7,191.81442260742188,304.0
716,51,3.7254901960784315,5.0,5,NoSidewalk,Fremont,47.65633459652172,-122.36274031096814,2,12,26,9,0,2,309.1711348565902,304.0
679,52,3.6538461538461537,5.0,5,NoCurbRamp,Madison Park,47.63519331125113,-122.2845064309927,5,15,9,8,0,15,346.36688232421875,304.0
552,76,3.0657894736842106,4.0,3,NoSidewalk,Industrial District,47.56095063058954,-122.33828112953587,0,2,72,0,0,2,325.1953125,302.90000000000003
167,53,3.9245283018867925,4.0,4,NoSidewalk,Roosevelt,47.72079410193101,-122.31473109407246,2,0,48,1,0,2,251.51824951171875,301.59999999999997
500,54,3.814814814814815,4.0,4,NoSidewalk,Industrial District,47.58078306692618,-122.3263606318721,0,4,31,4,0,15,285.39276123046875,298.7
5,59,3.4915254237288136,5.0,4,NoSidewalk,Green Lake,47.73172229831501,-122.33494503215208,0,9,44,5,0,1,229.07638549804688,298.7
171,45,4.5777777777777775,5.0,4,NoSidewalk,Mount Baker,47.553988223605685,-122.28615163167318,0,5,28,5,0,7,368.38531494140625,298.7
464,37,4.594594594594595,5.0,6,NoSidewalk,North Queen Anne,47.646989977037585,-122.36774939459724,2,10,13,7,1,4,292.16766357421875,297.5
2,42,4.404761904761905,5.0,5,NoSidewalk,Industrial District,47.5698542821975,-122.40654191516694,2,7,30,1,0,2,558.2290349983614,296.0
18,57,3.982456140350877,4.0,3,NoSidewalk,Mount Baker,47.51705912539833,-122.27163053813733,0,1,54,0,0,2,506.4239501953125,295.1
282,42,4.380952380952381,5.0,5,NoSidewalk,Lawton Park,47.66988145737421,-122.40905580066499,2,11,17,5,0,7,276.0772705078125,294.40000000000003
1154,43,4.72093023255814,5.0,4,NoSidewalk,North Beacon Hill,47.57403733009516,-122.30499711147574,0,12,24,2,0,5,182.8239747946648,294.35
637,57,3.9473684210526314,5.0,3,NoSidewalk,Industrial District,47.57118332176878,-122.34098963151898,1,3,53,0,0,0,221.1147946312296,292.5
357,68,3.3088235294117645,5.0,3,NoSidewalk,Briarcliff,47.64433838339413,-122.41420656092026,0,2,61,5,0,0,261.2571716308594,292.5
1135,48,3.7916666666666665,5.0,5,NoSidewalk,Atlantic,47.58632572491964,-122.29922358194987,2,16,24,3,0,3,227.80609130938245,291.2
1176,54,4.111111111111111,5.0,3,NoSidewalk,Green Lake,47.67047338132505,-122.34160260800962,0,12,31,0,0,11,363.83351725897074,288.59999999999997
632,58,4.9655172413793105,5.0,1,NoSidewalk,Loyal Heights,47.69316916630186,-122.38001448532631,0,0,58,0,0,0,185.88638305664062,288.0
1212,44,4.5,5.0,4,NoCurbRamp,Wallingford,47.663301727988504,-122.34402535178445,1,39,0,3,0,1,130.6102257921027,287.09999999999997
250,50,3.58,5.0,5,NoSidewalk,University District,47.65207847595215,-122.3086637878418,10,9,25,5,0,1,787.8231339628505,286.40000000000003
316,40,4.925,5.0,4,NoSidewalk,Interbay,47.65942716598511,-122.38645706176757,1,2,36,1,0,0,165.56167602539062,285.65
510,44,4.045454545454546,5.0,5,NoSidewalk,Mount Baker,47.573918862776324,-122.29488338123669,1,11,22,5,0,5,390.78713019863267,284.80000000000007
157,47,3.7872340425531914,5.0,5,Obstacle,Whittier Heights,47.7110727188435,-122.35684333963597,1,1,15,23,0,7,544.5327758789062,284.8
964,56,3.875,5.0,3,NoCurbRamp,North Beacon Hill,47.57947949000767,-122.31548472813198,0,37,14,0,0,5,360.7635498046875,282.1
1159,63,3.888888888888889,5.0,2,NoSidewalk,Ravenna,47.6984739152212,-122.29883793422154,0,0,61,0,0,2,234.58099365234375,281.75
13,44,4.0,5.0,5,NoSidewalk,Industrial District,47.50570331920277,-122.37894682450728,6,4,21,2,0,11,446.21464381047826,281.6
182,43,4.093023255813954,5.0,5,NoSidewalk,View Ridge,47.69137670827467,-122.27210164624591,2,14,16,8,0,3,694.8830527776797,281.6
862,42,4.190476190476191,5.0,5,Obstacle,Bryant,47.66152436392648,-122.290770757766,2,2,15,17,0,6,201.34052167150156,281.6
177,70,4.0,4.0,1,NoSidewalk,Roosevelt,47.712963703700474,-122.320202091762,0,0,70,0,0,0,289.2036437988281,280.0
89,44,4.886363636363637,5.0,3,NoSidewalk,Whittier Heights,47.72320634668524,-122.36306381225586,0,0,24,16,0,4,129.14657592773438,279.5
924,67,3.208955223880597,4.0,3,NoSidewalk,Sunset Hill,47.67818712832323,-122.40330960857334,0,11,53,0,0,3,300.488905868186,279.5
146,49,3.9183673469387754,5.0,4,NoSidewalk,Roosevelt,47.73279875151965,-122.32358192910954,5,0,39,3,0,2,547.4967956542969,278.4
1220,59,3.23728813559322,5.0,4,NoCurbRamp,Phinney Ridge,47.66335070335259,-122.35593621205476,0,42,12,3,0,2,252.3651123046875,276.95
830,48,3.5833333333333335,5.0,5,NoCurbRamp,Leschi,47.6021933555603,-122.2924690246582,10,20,2,9,0,7,309.5283508300781,275.2
591,59,4.033898305084746,5.0,2,NoSidewalk,Industrial District,47.55487933401334,-122.3317180568889,0,0,58,1,0,0,238.9011735020366,273.7
850,46,3.6956521739130435,4.0,5,NoSidewalk,Ravenna,47.663667264192,-122.29406273883322,0,13,28,1,1,3,232.7013055751861,272.0
441,54,3.111111111111111,4.0,5,NoCurbRamp,Montlake,47.63772907963506,-122.3189143428096,6,22,13,2,0,11,236.24068552748705,268.8
832,49,4.673469387755102,5.0,2,NoCurbRamp,Wallingford,47.66630297291036,-122.32478861906091,0,48,1,0,0,0,340.0154113769531,263.34999999999997
588,57,3.526315789473684,4.0,3,NoSidewalk,Industrial District,47.55741266618695,-122.33252836528577,0,0,47,9,0,1,147.44861933523427,261.3
325,42,3.880952380952381,5.0,5,NoSidewalk,Industrial District,47.551581428164525,-122.33226975940522,2,5,30,1,0,4,200.62102681027568,260.8
822,48,3.375,4.0,5,NoCurbRamp,Atlantic,47.60133846600851,-122.29811684290569,1,26,1,2,0,18,446.54310934442276,259.2
539,50,3.56,5.0,4,NoSidewalk,West Queen Anne,47.63762046813965,-122.37271514892578,0,6,25,9,0,10,248.13079833984375,258.09999999999997
1141,48,4.104166666666667,5.0,3,NoSidewalk,Mount Baker,47.586676597595215,-122.28972880045573,0,1,45,0,0,2,196.48833133904043,256.1
51,52,3.769230769230769,4.0,3,NoSidewalk,Industrial District,47.523864892812874,-122.3303520496075,0,11,30,0,0,11,321.3921180473822,254.8
416,43,3.697674418604651,5.0,5,CurbRamp,Montlake,47.6400032043457,-122.31237473598746,11,8,11,5,0,8,390.86431421228673,254.4
16,42,4.166666666666667,5.0,4,NoSidewalk,Industrial District,47.57681219918387,-122.41576676141648,0,6,28,7,0,1,330.2083054086173,253.75
1219,53,3.30188679245283,4.0,4,NoCurbRamp,Phinney Ridge,47.66892220839014,-122.356312877727,0,26,14,2,0,11,207.90481567382812,253.75
283,37,4.27027027027027,5.0,5,NoSidewalk,Lawton Park,47.66740365930506,-122.40906318458352,8,8,13,5,0,3,279.0412902832031,252.8
193,50,3.48,5.0,4,NoCurbRamp,Industrial District,47.53131294250488,-122.37820404052735,6,28,0,2,0,14,419.12272697856736,252.29999999999998
676,46,3.4130434782608696,4.0,5,NoCurbRamp,Ravenna,47.67993719681449,-122.29605351323667,2,30,10,2,0,2,449.2928185985931,251.20000000000002
369,42,3.6904761904761907,5.0,5,CurbRamp,View Ridge,47.680345353626066,-122.26916976202102,10,9,3,10,0,10,603.3897399902344,248.0
244,36,4.305555555555555,5.0,5,NoSidewalk,Ravenna,47.70980781979031,-122.30290688408746,2,2,23,4,0,5,207.48138427734375,248.0
1192,52,3.2884615384615383,5.0,4,NoCurbRamp,Fremont,47.66081890693078,-122.34977487417368,9,25,0,10,0,8,468.279892346322,247.95
994,51,3.019607843137255,4.0,5,NoCurbRamp,Mann,47.6185983396044,-122.29683430989583,4,32,1,2,0,12,335.0822444298158,246.4
217,56,3.017857142857143,4.0,4,NoSidewalk,Industrial District,47.54352699007307,-122.39111082894462,0,8,36,3,0,9,325.6187438964844,245.04999999999998
1166,39,3.923076923076923,5.0,5,SurfaceProblem,Madrona,47.61244387504382,-122.28576405843098,3,10,6,3,0,17,180.38177490234375,244.8
25,40,4.2,5.0,4,NoSidewalk,Harbor Island,47.57304077148437,-122.35361824035644,3,0,23,12,0,2,329.8530578613281,243.6
80,40,3.8,5.0,5,SurfaceProblem,North Beacon Hill,47.54602918624878,-122.30344276428222,11,4,6,4,0,15,672.8090148550158,243.20000000000002
158,44,3.4545454545454546,5.0,5,Obstacle,Industrial District,47.52265999533913,-122.38770727677779,1,7,2,33,0,1,460.9394963906795,243.20000000000002
344,53,3.150943396226415,5.0,4,NoCurbRamp,West Woodland,47.674774529798974,-122.3751353137898,14,19,0,8,0,12,471.5760504135031,242.15
777,34,4.882352941176471,5.0,4,NoSidewalk,Whittier Heights,47.6976037866929,-122.36697881362018,2,1,30,1,0,0,116.8449676925163,240.7
651,40,3.75,4.0,5,NoSidewalk,Atlantic,47.59877452850342,-122.30673179626464,1,6,22,1,0,10,332.9250526786622,240.0
605,60,4.0,4.0,1,NoSidewalk,Industrial District,47.58476893107096,-122.33514874776205,0,0,60,0,0,0,317.57354736328125,240.0
1221,46,3.5869565217391304,5.0,4,SurfaceProblem,Phinney Ridge,47.66525459289551,-122.35950652412747,0,10,8,4,0,24,378.9710998535156,239.25
